lego_set_id,lego_set_title,rebrickable_lego_set_url,bricket_lego_set_url,brickpicker_lego_set_url
75056-17,advent-calendar-2014-star-wars-day-16-snowspeeder-pilot-star-wars-2014,http://rebrickable.com/sets/75056-17/advent-calendar-2014-star-wars-day-16-snowspeeder-pilot-star-wars-2014,http://brickset.com/sets/75056-17,http://www.brickpicker.com/bpms/set.cfm?set=75056-17
75056-19,advent-calendar-2014-star-wars-day-18-general-rieekan-star-wars-2014,http://rebrickable.com/sets/75056-19/advent-calendar-2014-star-wars-day-18-general-rieekan-star-wars-2014,http://brickset.com/sets/75056-19,http://www.brickpicker.com/bpms/set.cfm?set=75056-19
75056-3,advent-calendar-2014-star-wars-day-2-super-battle-droid-star-wars-2014,http://rebrickable.com/sets/75056-3/advent-calendar-2014-star-wars-day-2-super-battle-droid-star-wars-2014,http://brickset.com/sets/75056-3,http://www.brickpicker.com/bpms/set.cfm?set=75056-3
75056-9,advent-calendar-2014-star-wars-day-8-snowtrooper--star-wars-2014,http://rebrickable.com/sets/75056-9/advent-calendar-2014-star-wars-day-8-snowtrooper--star-wars-2014,http://brickset.com/sets/75056-9,http://www.brickpicker.com/bpms/set.cfm?set=75056-9
41040-21,advent-calendar-2014-friends-day-20-white-cat-friends-2014,http://rebrickable.com/sets/41040-21/advent-calendar-2014-friends-day-20-white-cat-friends-2014,http://brickset.com/sets/41040-21,http://www.brickpicker.com/bpms/set.cfm?set=41040-21
5002122-1,tc-4-minifig-pack-2014,http://rebrickable.com/sets/5002122-1/tc-4-minifig-pack-2014,http://brickset.com/sets/5002122-1,http://www.brickpicker.com/bpms/set.cfm?set=5002122-1
60063-16,advent-calendar-2014-city-day-15-dog-with-bone-and-food-dish-city-2014,http://rebrickable.com/sets/60063-16/advent-calendar-2014-city-day-15-dog-with-bone-and-food-dish-city-2014,http://brickset.com/sets/60063-16,http://www.brickpicker.com/bpms/set.cfm?set=60063-16
66495-1,star-wars-super-pack-3-in-1-75037-75038-75045-star-wars-other-2014,http://rebrickable.com/sets/66495-1/star-wars-super-pack-3-in-1-75037-75038-75045-star-wars-other-2014,http://brickset.com/sets/66495-1,http://www.brickpicker.com/bpms/set.cfm?set=66495-1
66514-1,star-wars-microfighters-super-pack-3-in-1-75028-75029-75030-mini-2014,http://rebrickable.com/sets/66514-1/star-wars-microfighters-super-pack-3-in-1-75028-75029-75030-mini-2014,http://brickset.com/sets/66514-1,http://www.brickpicker.com/bpms/set.cfm?set=66514-1
66515-1,star-wars-microfighters-super-pack-3-in-1-75031-75032-75033-mini-2014,http://rebrickable.com/sets/66515-1/star-wars-microfighters-super-pack-3-in-1-75031-75032-75033-mini-2014,http://brickset.com/sets/66515-1,http://www.brickpicker.com/bpms/set.cfm?set=66515-1
5002203-1,radio-dj-robot-the-lego-movie-2014,http://rebrickable.com/sets/5002203-1/radio-dj-robot-the-lego-movie-2014,http://brickset.com/sets/5002203-1,http://www.brickpicker.com/bpms/set.cfm?set=5002203-1
71004-0,lego-minifigures-the-lego-movie-series-%5Brandom-bag%5D-the-lego-movie-series-2014,http://rebrickable.com/sets/71004-0/lego-minifigures-the-lego-movie-series-%5Brandom-bag%5D-the-lego-movie-series-2014,http://brickset.com/sets/71004-0,http://www.brickpicker.com/bpms/set.cfm?set=71004-0
71005-0,lego-minifigures-the-simpsons-series-%5Brandom-bag%5D-the-simpsons-2014,http://rebrickable.com/sets/71005-0/lego-minifigures-the-simpsons-series-%5Brandom-bag%5D-the-simpsons-2014,http://brickset.com/sets/71005-0,http://www.brickpicker.com/bpms/set.cfm?set=71005-0
71007-0,lego-minifigures-series-12-%5Brandom-bag%5D-series-12-minifigures-2014,http://rebrickable.com/sets/71007-0/lego-minifigures-series-12-%5Brandom-bag%5D-series-12-minifigures-2014,http://brickset.com/sets/71007-0,http://www.brickpicker.com/bpms/set.cfm?set=71007-0
